author,author_timezone,commit_message,n_commits,n_projects_c,complexity,cognitive_complexity,class_complexity,duplicated_blocks,duplicated_files,duplicated_lines_density,violations,blocker_violations,critical_violations,major_violations,minor_violations,info_violations,open_issues,sqale_debt_ratio,code_smells,bugs,reliability_rating,vulnerabilities,security_rating,files,comment_lines_density,function_complexity,file_complexity,effort_to_reach_maintainability_rating_a,new_sqale_debt_ratio,security_remediation_effort,reliability_remediation_effort,error,ok,warn,n_measures,n_projects_m,effort,message,blocker,critical,info,major,minor,issue_code_length,n_issues,n_projects_i
Henri Biestro,0.0,300.3898916967509,2493,2,2844.372549019608,2282.133333333333,13.523137254902007,52.46666666666667,14.709803921568627,2.631960784313719,660.743137254902,3.611764705882353,102.45490196078431,338.4019607843137,207.26078431372548,9.013725490196078,660.743137254902,2.4945098039215825,635.7549019607843,18.449019607843137,4.609803921568627,6.53921568627451,3.9941176470588236,108.76274509803922,22.82686274509803,1.9468627450980358,25.670980392156956,0.0,2.4522577551079308,67.54901960784314,196.10196078431372,509.0,1,0,510,2,17.058823529411764,62804.0,16.0,81.0,12.0,582.0,329.0,0.17941176470588235,1020.0,1.0
Henri Yandell,0.0,208.8849388379205,7848,21,2955.8614864864867,1966.6393581081081,14.979983108108055,155.36993243243242,43.52871621621622,23.98420608108114,1405.4383445945946,20.397804054054053,228.47297297297297,596.8851351351351,527.6942567567568,31.988175675675677,1405.4383445945946,3.9409628378378483,1367.8023648648648,26.08277027027027,3.706925675675676,11.55320945945946,3.3994932432432434,161.46368243243242,26.171283783783835,1.677871621621627,17.64712837837833,544.1613175675676,3.7334833384448225,159.63682432432432,319.93327702702703,1184.0,0,0,1184,21,15.064695311223657,435886.0,4.0,336.0,43.0,2519.0,3219.0,0.06681914719817024,6121.0,15.0
Hongchao Deng,0.0,203.6578947368421,38,1,9488.4,8477.0,12.400000000000002,318.0,100.1,5.769999999999999,4820.2,17.0,521.4,2090.3,2123.5,68.0,4820.2,3.1000000000000005,4362.6,33.0,5.0,424.6,4.0,442.4,13.24,2.1000000000000005,21.65,0.0,2.6098443066825214,10342.0,179.0,10.0,0,0,10,1,14.428571428571429,451.0,0.0,1.0,0.0,4.0,2.0,0.0,7.0,1.0
Humberto Cervantes Maceda,0.0,141.96428571428572,28,1,7274.2,7792.4,13.98,168.8,70.8,6.139999999999999,4266.4,31.4,328.4,1928.6,1791.6,186.4,4266.4,3.7199999999999998,4161.6,40.0,5.0,64.8,4.0,512.6,34.3,2.12,15.48,0.0,3.712116362246752,676.0,676.0,5.0,0,0,5,1,16.384615384615383,3544.0,0.0,2.0,0.0,22.0,28.0,0.0,52.0,1.0
Ignacio J. Ortega,0.0,251.0,2,1,636.0,283.0,20.5,62.0,19.0,35.7,551.0,2.0,67.0,135.0,345.0,2.0,551.0,6.8,540.0,4.0,4.0,7.0,4.0,28.0,22.7,1.3,22.7,1448.0,4.24242424242424,100.0,20.0,1.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Mitchell,0.0,165.0,4,2,1474.2,1148.8,15.719999999999999,206.0,18.2,11.179999999999998,896.0,53.8,172.2,282.6,370.0,17.4,896.0,5.2,872.8,15.6,4.2,7.6,3.2,77.8,29.139999999999997,1.6800000000000002,18.28,873.8,5.144755322188013,157.0,415.0,5.0,0,0,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Strachan,0.0,392.4075461600214,3737,10,2756.7985185185184,1986.9081481481483,10.750370370370367,96.91407407407408,75.01333333333334,13.604592592592606,1405.588148148148,9.277037037037037,71.85777777777778,727.7274074074074,586.3762962962963,10.34962962962963,1405.588148148148,4.8208888888888835,1386.1896296296297,11.358518518518519,2.974814814814815,8.04,3.9362962962962964,275.6103703703704,26.302814814814866,1.768148148148161,11.224148148148164,463.06814814814817,4.262757239739893,100.38518518518518,115.51703703703704,675.0,0,0,675,10,17.706409372846313,83594.0,11.0,65.0,2.0,675.0,698.0,0.01171605789110958,1451.0,6.0
James Turner,0.0,253.375,48,1,733.16,577.68,18.851999999999997,108.8,12.08,9.784000000000002,399.16,0.0,43.6,182.44,173.12,0.0,399.16,6.244,382.24,6.16,4.0,10.76,4.0,36.64,28.396000000000004,1.9119999999999993,20.023999999999997,1278.44,6.232957029124783,157.2,184.8,25.0,0,0,25,1,14.607843137254902,2960.0,0.0,6.0,0.0,23.0,22.0,0.0,51.0,1.0
James W. Carman,0.0,180.825,120,3,7473.111111111111,4893.611111111111,14.644444444444442,307.05555555555554,85.33333333333333,9.95,3249.5555555555557,36.111111111111114,613.5,1475.388888888889,1067.5,57.05555555555556,3249.5555555555557,3.4499999999999997,3193.5555555555557,41.0,5.0,15.0,4.0,381.5,25.488888888888898,1.633333333333333,18.938888888888894,409.77777777777777,3.4193088748423355,192.77777777777777,754.7222222222222,18.0,0,0,18,3,14.773584905660377,2801.0,0.0,8.0,0.0,24.0,21.0,0.0,53.0,2.0
Jan Luehe,0.0,150.0,1,1,2637.0,2660.0,16.7,354.0,45.0,21.0,2698.0,267.0,659.0,595.0,1125.0,52.0,2698.0,6.4,2684.0,10.0,4.0,4.0,4.0,139.0,28.0,1.6,19.0,7880.0,6.31854637882769,80.0,150.0,1.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
